"","Character","Script"
"1300","DALEK"," I have returned the girl to the cell. "
"1301","DALEK"," Very well. "
"1302","DALEK"," They are asking for water. "
"1303","DALEK"," Give them some. It is clear that the girl must have made contact with the Thals. "
"1304","DALEK"," Our prisoners could bring the Thals to us. "
"1305","DALEK"," Precisely that. "
"1327","DALEK"," We could let this catastrophe destroy the Thals. "
"1328","DALEK"," Will they let themselves starve to death? No. I feel preserving our prisoners was a good idea. "
"1329","DALEK"," And an arrangement to bring the Thals inside our city an even better one. "
"1330","DALEK"," We'll let our prisoners sleep and then give them food. After that, we can plan. "
"1331","DALEK"," Why not begin now? "
"1332","DALEK"," Because the lapse of time, the relaxation of sleep, the provision of food, all these things will give them a false sense of security. "
"1333","DALEK"," We have brought you food and more water.   The girl is to come with me. "
"1337","DALEK"," She will be returned. We are going to help the Thals, which is what you want us to do. Come now. "
"1384","DALEK"," Have liquid foods, water in abundance. We can also supply unlimited quantities of fresh vegetables which are forced in artificial sunlight. "
"1386","DALEK"," In return, we shall expect the Thals to help us in the re-cultivation of the land surrounding the "
"1387","DALEK"," Why have you stopped writing? "
"1389","DALEK"," Then put down that we expect them to help us. "
"1391","DALEK"," Please sit still while we examine what you've written.   What is the last word here? "
"1393","DALEK"," Su San. Stop that noise.   "
"1395","DALEK"," Have you told the Thals that you would write this name on the message? "
"1397","DALEK"," No. "
"1399","DALEK"," We have planned otherwise. "
"1404","DALEK"," It does not matter. We have the message now. "
"1423","DALEK"," Do you think it was broken accidentally in their struggle? "
"1424","DALEK"," No, the cable is strong. They have broken it deliberately. "
"1425","DALEK"," They can be moved immediately to another room, the eye repaired. "
"1426","DALEK"," No. "
"1427","DALEK"," Extermination, then. "
"1428","DALEK"," There is no escape from the room that holds them. They may well be useful again. We shall deal with the Thals. "
"1480","DALEK"," Move back from the door.   Take the food. "
"1502","DALEK"," Take this. "
"1504","DALEK"," Keep away. Keep away from me.   Keep away from me! Keep away! Keep away! "
"1506","DALEK"," Keep away from me! Keep away from me! Keep away from me! Keep away from me! Keep away from me! "
"1553","DALEK"," Stop. "
"1555","DALEK"," I have not been informed. Wait. "
"1557","DALEK"," Hold her. "
"1559","DALEK"," Shall I help you to the fourth level with them? "
"1568","DALEK"," I have just passed the prisoners through into lift shaft seven. "
"1569","DALEK"," There are no orders to move the prisoners. Hold them. "
"1570","DALEK"," The door is locked. Emergency alarm. "
"1571","DALEK"," Attention. Immobilise lift shaft seven floor area. "
"1608","DALEK"," It is nearly completed. "
"1609","DALEK"," It is empty. "
"1610","DALEK"," Lock the lift. "
"1611","DALEK"," The emergency switch. Bring it down. "
"1630","DALEK"," Make no attempt to capture them. They are to be exterminated. You understand? Exterminated. "
"1631","DALEK"," I understand. "
"1660","DALEK"," They are approaching. "
"1682","DALEK"," Fire! "
"1779","DALEK"," The drug has been duplicated. "
"1780","DALEK"," And the distribution? "
"1781","DALEK"," The drug is to be taken by sections of us so work will not be interrupted. "
"1782","DALEK"," Have you processed the pictures? "
"1783","DALEK"," Appearing now on frequency 6.   It is the elder prisoner. "
"1784","DALEK"," Show second picture. "
"1785","DALEK"," The girl and the young woman. Is that the body of the fourth prisoner? The young man? "
"1786","DALEK"," If so, he has been injured. "
"1787","DALEK"," Show third picture.   They have made contact with the Thals. "
"1788","DALEK"," It is logical that together they will attack us. "
"1862","DALEK"," Help. Cannot control. Cannot control. Help me. Help me. Help! Help! Help! Help! Ah! Ah! Ah! Ah! "
"1863","DALEK"," Emergency. Emergency. All Daleks in section three are incapable of working. "
"1864","DALEK"," Section three? That was the first section to get the anti-radiation drug received from the Thals. "
"1865","DALEK"," Stand by for a general announcement. This is control. All distribution of the anti-radiation drug is to be stopped immediately. The Dalek race has become conditioned to radiation. "
"1866","DALEK"," But if you are right, we are in danger. "
"1867","DALEK"," All Daleks in section three are dying. "
"1868","DALEK"," They must be examined immediately. "
"1869","DALEK"," Look, the disease has reached us in here. "
"1870","DALEK"," Then we cannot delay. "
"1871","DALEK"," But what are we to do? Is this the end of the Daleks? "
"1872","DALEK"," We need radiation to survive. So we must increase our supply of radiation. "
"1873","DALEK"," But there is only one way to do that. "
"1874","DALEK"," Exactly. We may have to explode another neutron bomb. "
"1891","DALEK"," Has the anti-radiation drug distribution been stopped? "
"1892","DALEK"," Yes. Only Daleks in section two and three received it. All Daleks in section three have now died. "
"1893","DALEK"," Daleks in section two are to be brought to the sonic chamber. "
"1894","DALEK"," We will direct the air polluted by radiation away from the nuclear reactors into the sonic chamber. "
"1895","DALEK"," And if they do not die, we shall have our answer. "
"1896","DALEK"," But if we need radiation, we can never rebuild the world outside. "
"1897","DALEK"," We do not have to adapt to the environment. We will change the environment to suit us. "
"1922","DALEK"," The laser scope is transmitting. The quality is poor. What has happened? Has this group broken away? Is there a plan behind it? Why divide their forces? "
"1923","DALEK"," The figures are coming through on the radiation treatment. "
"1924","DALEK"," Discontinue laser scope. "
"1925","DALEK"," There is an improvement. Except for one serious case, all Daleks in section two have shown signs of recovery. "
"1926","DALEK"," Then our position is clear. For us, the drug is a poison. "
"1927","DALEK"," And radiation is still necessary to us. "
"1928","DALEK"," Essential. I want a complete survey of our stock of nuclear materials. I want an estimate of the amount of waste matter from the nuclear reactors. "
"2016","DALEK"," The report for the neutron bomb is prepared. "
"2017","DALEK"," Let us hear it. "
"2018","DALEK"," Report on neutron bomb to cover five hundred square miles. Time to construct, twenty three days. "
"2019","DALEK"," Is that the shortest possible time? "
"2020","DALEK"," Yes. "
"2021","DALEK"," Very well. It is too long. "
"2022","DALEK"," We must abandon the idea of a neutron bomb. "
"2023","DALEK"," We must find another way of spreading radiation. "
"2071","DALEK"," Rangerscopes are recording great activity amongst the Thal people. "
"2072","DALEK"," Are there pictures? "
"2073","DALEK"," No, reception is bad. "
"2074","DALEK"," They are attacking our instruments. "
"2075","DALEK"," We must keep alert. "
"2076","DALEK"," Yes. Concentrate all power of rangerscopes and vibrascopes on all entrances to the city. "
"2116","DALEK"," Emergency. Emergency. Reaction on the vibrascopes. "
"2117","DALEK"," Where? "
"2118","DALEK"," Section fifteen, city wall. "
"2119","DALEK"," Shall I redirect the rangerscopes? "
"2120","DALEK"," No. If we track them by their vibrations, we can take them by surprise. "
"2178","DALEK"," You have destroyed our videoscope and one of our lifts. "
"2180","DALEK"," The only interest we have in the Thals is their total extermination. "
"2182","DALEK"," Tomorrow the atmosphere will be bombarded by the radiation from our nuclear reactors. "
"2185","DALEK"," No, extermination. "
"2187","DALEK"," Without radiation, the Dalek race is ended. We need it as you and the Thals need air. "
"2220","DALEK"," What we need for life means death for the Thals. "
"2222","DALEK"," Only one race can survive. "
"2224","DALEK"," We wish to escape captivity. Go out and rebuild the planet Skaro. Our oxygen distributors will be subjected to waste radiation by the ejector capsule. "
"2226","DALEK"," Except the Daleks. "
"2228","DALEK"," Now. "
"2254","DALEK"," Power down to half. "
"2255","DALEK"," Down to half. "
"2256","DALEK"," Seal off nuclear waste disposer. "
"2257","DALEK"," Sealing complete. "
"2258","DALEK"," Begin radiation redirection to distribution capsule. "
"2261","DALEK"," It does not matter now. "
"2263","DALEK"," A ship? What do you mean? "
"2265","DALEK"," I do not believe you. "
"2268","DALEK"," You are not capable of creating such a machine. "
"2270","DALEK"," What did it look like? "
"2272","DALEK"," Yes, I have it here. "
"2274","DALEK"," A bargain for your lives? "
"2276","DALEK"," Where is this machine? "
"2278","DALEK"," Good. When the neutron operation has been completed, we will find a way to travel outside the city limits. "
"2280","DALEK"," We will examine your machine. "
"2282","DALEK"," Now we know of the machine, we can examine it for ourselves. "
"2284","DALEK"," Every problem has a solution. "
"2285","DALEK"," Vibration locator records movement inside the city wall. "
"2286","DALEK"," Details. "
"2287","DALEK"," Disturbance is too great. "
"2288","DALEK"," Alert Daleks in Section one. The Thals are entering the city. "
"2294","DALEK"," Alert. The Thals are entering the city. All Daleks in section one to level one. Immediate. Immediate. "
"2296","DALEK"," Interior videoscopes are recording movement on level eight. "
"2298","DALEK"," All Daleks on level eight. Urgent.   The Thals have penetrated to level eight. Immediate action. Immediate action. "
"2299","DALEK"," How did they get into the city? "
"2300","DALEK"," Capsule ready to go critical. "
"2301","DALEK"," Stand by. "
"2302","DALEK"," Standing by, ready. "
"2303","DALEK"," The last stage of the operation is about to begin. "
"2305","DALEK"," Nothing can stop the Daleks. Begin countdown. One hundred. "
"2306","DALEK"," Beginning now. "
"2318","DALEK"," Daleks go to control room immediately. All Daleks to level ten. "
"2322","DALEK"," All Daleks to level ten immediately. Corridor intersections on all levels other than ten will be sealed now. "
"2328","DALEK"," Fifty two. "
"2329","DALEK"," The Thals are blocking the intersections from sealing on level nine. "
"2330","DALEK"," Fifty one. "
"2331","DALEK"," Increase power. Emergency. Increase power. "
"2332","DALEK"," Forty nine. Forty eight. "
"2340","DALEK"," Forty six. Forty five. Forty four. Forty three. Forty two. "
"2342","DALEK"," Forty. Thirty nine. Thirty eight. Thirty seven. Thirty six. Thirty five. Thirty four. Thirty three.   Thirty two. Thirty one. Thirty. Twenty nine. Twenty eight. Twenty seven. Twenty six. Twenty five. Twenty four. Twenty three. Twenty two. Twenty one. Twenty.   Nineteen. Eighteen. Seventeen.   Sixteen. Fifteen. Fourteen.   Thirteen. "
"2343","DALEK"," Follow and kill her. "
"2344","DALEK"," Twelve. Eleven. Ten. "
"2345","DALEK"," Trapped. Help me. Trapped. "
"2346","DALEK"," Nine. Eight. Seven. Six. Five. Four. "
"2347","DALEK"," Reinforcements. Overpowered. Reinforcements. Quickly. Quickly."
"2350","DALEK"," Power going. "
"2355","DALEK"," Listen to me. "
"2357","DALEK","   Stop our power from wasting or it will be the end of the Daleks. "
"10833","DALEK"," Why have the human beings been allowed to get so near the river? "
"10836","DALEK"," Where is the Robo-control for this section? "
"10838","DALEK"," You will take his place until he is found. The human beings are to be taken to landing area one. "
"10841","DALEK"," We do not release prisoners. We are the masters of the Earth. "
"10843","DALEK"," Obey us or die. "
"10845","DALEK"," Stop. I can hear you. I have heard many similar words from leaders of your different races. All of them were destroyed. I warn you, resistance is useless. "
"10847","DALEK"," We have already conquered Earth. "
"10849","DALEK"," Take them. Take them.   We are the masters of Earth. We are the masters of Earth. We are the masters of Earth. "
"10850","DALEK"," Survivors of London, the Daleks are the masters of Earth. Surrender now and you will live. Those wishing to surrender must stand in the middle of the street, and obey orders received. Message ends. "
"10900","DALEK"," Where are the other two from your patrol? "
"10902","DALEK"," For this you will be punished. Continue your patrol. The prisoners will fall in line. "
"10907","DALEK"," The prisoners will remain silent. "
"10911","BLACKDALEK"," Kill him.   Any further resistance will be dealt with in the same way. "
"10912","DALEK"," The prisoners will proceed into the ship. "
"10946","DALEK"," Halt. You will move one by one slowly into the prison cell. "
"10948","DALEK"," You. Reverse and move. "
"10949","BLACKDALEK"," Is that the one? "
"10950","DALEK"," Yes. He spoke of resistance. "
"10951","BLACKDALEK"," His words betray greater intelligence than normal in human beings. "
"10952","DALEK"," Give them the test. "
"10984","DALEK"," All radio waves bands are open. "
"10985","BLACKDALEK"," Rebels of London, this is our last offer. Our final warning. Leave your hiding places. Show yourselves in the open streets. You will be fed and watered. Work is needed from you but the Daleks offer you life. "
"10986","BLACKDALEK"," Rebel against us and the Daleks will destroy London completely. You will all die, the males, the females and descendants. Rebels of London, come out of your hiding places. The Daleks offer you life. "
"11048","DALEK"," You have passed the escape test we set you. Take him. "
"11050","DALEK"," He will be robotised. "
"11054","DALEK"," Our prisoner will move to the table. "
"11055","DALEK"," Take off his coat.   Anaesthetize him. "
"11058","DALEK"," Take the prisoners into the ship. Wait. In which sector were these prisoners taken? "
"11060","DALEK"," No patrol has been ordered in sector four. "
"11062","DALEK"," Warning! "
"11063","DALEK"," Attack! "
"11064","DALEK"," Warning! "
"11065","DALEK"," Attack! "
"11066","DALEK"," Get the prisoners inside. "
"11068","DALEK"," Section five move forward. Seal off the area. "
"11070","DALEK"," We are under attack. Report to main ramp. General alert. Report to main ramp. "
"11071","BLACKDALEK"," Disregard. Commence the operation.   "
"11075","DALEK"," All Robomen reserve into action. Destroy invaders. "
"11092","DALEK"," They are retreating. Take prisoners where possible. Do not kill."
"11093","DALEK"," All exits to the square are blocked. "
"11095","BLACKDALEK"," Has the attack been defeated? "
"11096","DALEK"," Yes. Most of the rebels were killed or wounded. "
"11097","BLACKDALEK"," Find every survivor. Destroy every one. Destroy them! Destroy every one of them! Destroy! "
"11139","BLACKDALEK"," Supreme Command have given orders for London to be destroyed by firebombs. "
"11140","DALEK"," Do you intend to stay here in the city? "
"11141","BLACKDALEK"," No. Order the saucer to take me to the mine workings in central England. "
"11142","DALEK"," Five, four, three, two, one. Lift off. "
"11157","DALEK"," Break on seventy two. Break on seventy two. Report zero five five Roboman. Fault. "
"11162","DALEK"," Stop! Stop! Stop! "
"11164","DALEK"," Stop! "
"11166","DALEK"," Stop! "
"11209","DALEK"," Fire. "
"11253","DALEK"," Who are you? Subcultural. "
"11284","BLACKDALEK"," Lower ramp and disembark. "
"11337","DALEK"," Report Beta section zero zero one. Parade for robotisation selection at hut thirty. End. "
"11398","DALEK"," Rebels travelling in motorised vehicle have attacked and passed Dalek outer London cordon. "
"11399","DALEK"," This is saucer Alpha Major. Am forty five miles south of mining area. "
"11400","DALEK"," Intercept rebels and destroy."
"11401","DALEK"," Position of rebel vehicle? Give position. "
"11402","DALEK"," South east eight over three seven six. North, north, nine point eight. "
"11514","BLACKDALEK"," There is no work party in shaft nine. Why? "
"11515","DALEK"," The section is completed. The labour force is being assembled for clearing operations. "
"11516","BLACKDALEK"," Work must proceed to schedule. There must be no delays. "
"11517","DALEK"," All will be ready. The waste bucket in shaft nine is being lowered now. "
"11583","DALEK"," You will follow me, both of you. Do not try to escape or you will be exterminated. Move. "
"11612","DALEK","   Emergency! Emergency! Priority shaft nine. Close all exits! Emergency! "
"11664","DALEK"," You. Take all buckets to the clearing section. "
"11678","DALEK"," Get back to work. "
"11680","DALEK"," There will be no revolution. The Daleks are masters of Earth. "
"11682","DALEK"," You are lying. It is a trick. "
"11684","DALEK"," Proof? Let me see.   Details of the acid bomb used in the unprovoked attack on the London saucer landing area. "
"11686","DALEK"," Very well. Speak. "
"11688","DALEK"," That is impossible. Tell me your story. "
"11690","DALEK"," The Black Dalek will see you, but if you are lying, you will be killed. Follow me. "
"11696","BLACKDALEK"," Give me your report. "
"11697","DALEK"," The main drills have penetrated the quartz strata. We are within four miles of the Earth's outer core. "
"11698","BLACKDALEK"," When will the final breakthrough occur? "
"11699","DALEK"," The slave parties are clearing the top of the fissure now. "
"11700","BLACKDALEK"," What remains to be done? "
"11701","DALEK"," Only to put into position the penetration explosive. The charge is in the fissure capsule now. When positioned, the charge will strike the fissure in the Earth's crust here. "
"11702","BLACKDALEK"," The fissure will expand, the molten core be released. "
"11703","DALEK"," We will then control the flow until all the gravitational and magnetic forces in the Earth's core are eliminated. "
"11704","BLACKDALEK"," Excellent. I will now announce to the Dalek Earth force, completion of Project Degravitate in two hours time. "
"11705","DALEK"," Attention."
"11706","DALEK"," Attention all units. Stand by for an announcement by the Supreme Controller."
"11707","BLACKDALEK"," This is the Supreme Controller. Our mission to Earth is nearly completed. We were sent here to remove the core of this planet."
"11708","BLACKDALEK"," Once the core is removed, we can replace it with a power system that will enable us to pilot the planet anywhere in the universe."
"11709","BLACKDALEK"," All that remains is to put into position the penetration explosive. Daleks controlling device will now report. "
"11710","DALEK"," We are ready. "
"11711","BLACKDALEK"," Arm the device. "
"11712","DALEK"," Device now armed. "
"11713","BLACKDALEK"," Set capsule in motion. "
"11714","DALEK"," Hatch over control to closed position. Motor running. "
"11715","DALEK"," Capsule moving."
"11716","BLACKDALEK"," As soon as the capsule is in position over the fissure, release it.   "
"11718","DALEK"," Capsule now arrived at sub station. "
"11719","BLACKDALEK"," Ascertain extent of breakdown and then "
"11720","DALEK"," Man has been seen leaving capsule. "
"11721","BLACKDALEK"," Exterminate him! Exterminate him! Exterminate him!"
"11722","DALEK"," Stay where you are! "
"11724","DALEK"," Move. "
"11726","DALEK"," Silence. You will only speak when you are ordered to do so."
"11727","DALEK"," Dalek reports human fallen down bomb shaft. Capsule is being repaired. "
"11728","DALEK"," Wait here."
"11729","BLACKDALEK"," Every error must be corrected. The penetration explosive must strike the fissure correctly if we are to extract the molten core. Have all work tasks been completed? "
"11730","DALEK"," They have. "
"11731","BLACKDALEK"," Then arrange for the extermination of all human beings. "
"11732","DALEK"," Kill, kill, kill, kill, kill! "
"11733","DALEK"," The final solution! Clear up this planet! "
"11734","BLACKDALEK"," Alter the command frequencies to aural control to all Robomen. They are to herd humans down to the lower galleries. "
"11735","DALEK"," Immediately. Testing aural control. Testing aural control."
"11736","DALEK"," Testing aural control. Testing aural control."
"11738","DALEK"," Herd all humans to galleries to nine, ten and fifteen. "
"11742","DALEK"," They are the prisoners that reported the imminent revolt. "
"11743","BLACKDALEK"," Speak! "
"11745","BLACKDALEK"," We are not interested in the bomb. Give your information! "
"11747","BLACKDALEK"," Indian mutiny? We are the masters of India! "
"11749","BLACKDALEK"," Wait! Why have I not been informed of this? "
"11750","DALEK"," There has been no information. "
"11752","BLACKDALEK"," Attention! Attention! Mobilise defence forces! "
"11754","BLACKDALEK"," Take them! They are lying! Take them! Take them! Take them! "
"11755","DALEK"," I will arrange for their extermination. "
"11756","BLACKDALEK"," No. Secure them. They will be killed in the explosion. The countdown must proceed to schedule. "
"11776","BLACKDALEK"," As soon as the repairs to the capsule are complete, the explosive device will be released into the bowels of this planet. "
"11778","BLACKDALEK"," Attention all Daleks. Our saucers are hovering above the mine area. Notice to board saucers will be given shortly."
"11782","DALEK"," The work on the capsule is complete. The device is ready. "
"11783","BLACKDALEK"," Good. We shall have one hour to leave when the device is fired. Am firing now.   The explosive device is on its way to the centre of the Earth. We shall go the edge of the mine workings and be picked up by the saucers."
"11804","DALEK"," Scanner frequencies have been changed in Central control. "
"11805","BLACKDALEK"," The prisoners must have escaped! Deal with them. "
"11809","DALEK"," Two zero reporting."
"11811","DALEK"," Will exterminate them at zero range."
"11813","DALEK"," Thermostat reading too high! Heat increase intolerable! Heat increase complete! Power loss complete! Argh! "
"15857","DALEK"," Our greatest enemies have left the planet Xeros. They are once again in time and space. "
"15858","DALEK"," They cannot escape! Our time machine will soon follow them. They will be exterminated! Exterminated! Exterminated!  "
"15859","DALEK"," Our greatest enemies have left the planet Xeros. They are once again in time and space. "
"15860","DALEK"," They cannot escape! Our time machine will soon follow them. They will be exterminated! Exterminated! Exterminated!"
"16020","DALEK"," The Supreme Dalek is ready to receive your report!   The report is ready. "
"16023","BLACKDALEK"," Give your report. "
"16024","DALEK"," Our time machine has been completed. "
"16025","BLACKDALEK"," The operation will proceed at once. The movement scanners have located the enemy time machine, Tardis. "
"16026","DALEK"," Tardis! Tardis! Tardis! Tardis! Tardis! "
"16029","BLACKDALEK"," At present it lies in the Segaro desert of the planet Aridius. "
"16030","DALEK"," We await command. "
"16031","BLACKDALEK"," The Doctor and the three humans delayed our conquest of Earth. "
"16032","DALEK"," Daleks cannot be defeated! "
"16033","DALEK"," To defy Daleks is death! "
"16034","DALEK"," They will pay for their crime! "
"16035","BLACKDALEK"," Annihilate! "
"16036","DALEK"," Annihilate! Annihilate! Annihilate! Annihilate! Annihilate! "
"16037","BLACKDALEK"," The assassination group will embark at once in our time machine. They pursue the humans through all eternity. They must be destroyed! Exterminate them! Exterminate! Exterminate! Exterminate! "
"16089","DALEK"," The enemy time machine is in this area. "
"16090","DALEK"," We can locate the position with our seismic detectors. "
"16091","DALEK"," Find and destroy it. The remainder will search for the humans."
"16092","DALEK"," Are they to be taken alive? "
"16093","DALEK"," No. They are to be exterminated. "
"16094","DALEK"," Good. "
"16095","DALEK"," Destroyed. "
"16096","DALEK"," Exterminated. "
"16097","DALEK"," Now, let the search begin. "
"16103","DALEK"," Wait. Tracks of the humans. "
"16104","DALEK"," Follow them. "
"16105","DALEK"," Wait. Perceptor indicates someone is near. It draws closer. "
"16106","DALEK"," Destroy on sight. "
"16107","DALEK"," An Aridian. One of the species that inhabits this planet. Unimportant. Continue the search. "
"16151","DALEK"," The seismic detector is registering a contact. "
"16152","DALEK"," The enemy time machine is beneath the sand at this point. "
"16153","DALEK"," Then it was buried by last night's storm. "
"16154","DALEK"," It must be uncovered before we can destroy it. "
"16155","DALEK"," Yes. "
"16156","DALEK"," We will take some Aridians prisoner. "
"16157","DALEK"," Yes. "
"16158","DALEK"," And use them to dig the ship free. "
"16159","DALEK"," Yes. "
"16160","DALEK"," Well, see to it! "
"16161","DALEK"," I obey!"
"16184","DALEK"," The digging is completed. Are the prisoners to go free? "
"16185","DALEK"," No. They are worthless inferior creatures. "
"16186","DALEK"," They have no value to us. Destroy them. "
"16187","DALEK"," Destroy the enemy time machine. Use full power. Fire! Again. Fire! It is undamaged. "
"16188","DALEK"," It must be constructed of a material that can resist our neutralisers. "
"16189","DALEK"," Failure. "
"16190","DALEK"," Remain on guard until the prisoners have been handed over and exterminated. "
"16191","DALEK"," We obey."
"16228","DALEK"," The prisoners have escaped from the Aridians. "
"16229","DALEK"," Are we to proceed with the destruction of the underground city? "
"16230","DALEK"," The Aridians have one hour to re-capture the humans. If they fail, we act. "
"16231","DALEK"," I understand. "
"16232","DALEK"," The humans may try to reach their machine. "
"16233","DALEK"," Remain on guard. "
"16234","DALEK"," I obey."
"16287","DALEK"," Cease firing. They have escaped. "
"16288","DALEK"," Final termination is inevitable. "
"16289","DALEK"," Eradicate! "
"16290","DALEK"," Obliterate! "
"16291","DALEK"," Annihilate! "
"16292","DALEK"," We will embark in our time machine at once. The Dalek Supreme has ordered they are to be pursued through all eternity. Pursued and exterminated!   "
"16312","DALEK"," Enemy time machine position now constant."
"16313","DALEK"," Lock tracking device. "
"16314","DALEK"," Tracking device locked. "
"16315","DALEK"," Report extent of time curve. "
"16316","DALEK"," Seven seven three Dalekian scale, nine one five degrees. "
"16317","DALEK"," Compute time lag by earth scale. "
"16318","DALEK"," Er, one, er, forty, er. Computer reading one five earth minutes, reducing. "
"16319","DALEK"," We are close behind them. "
"16320","DALEK"," Success! Success! "
"16321","DALEK"," Exterminate! "
"16322","DALEK"," Success! "
"16323","DALEK"," Final victory inevitable! "
"16324","DALEK"," Order executioner to prepare to disembark. "
"16325","DALEK"," I obey."
"16383","DALEK"," Movie pe? Where are they? "
"16462","DALEK"," We shall soon be arriving. Order the search party to stand by. "
"16463","DALEK"," They are ready. "
"16464","DALEK"," Is that where the humans have landed? "
"16465","DALEK"," Yes. Join the search party and prepare to disembark. We are materialising now."
"16469","DALEK"," Where are the time travellers? "
"16472","DALEK"," Wait. "
"16474","DALEK"," Do not move. Answer my question. "
"16477","DALEK"," Is the earth time machine here? "
"16478","DALEK"," It has not yet been discovered. "
"16479","DALEK"," Join in the search. "
"16480","DALEK"," You search up there. "
"16482","DALEK"," Wait! "
"16484","DALEK"," There is no one on the vessel. "
"16485","DALEK"," Come. We must continue our pursuit course. "
"16558","DALEK"," The enemy time machine is here. We have caught them. "
"16559","DALEK"," Which planet are we on. "
"16560","DALEK"," Earth. They only changed their geographical and time location."
"16561","DALEK"," This time they will not elude us. Already the search force is disembarking."
"16562","DALEK"," Search. I shall remain here in case they return."
"16570","DALEK"," Where are the time travellers? "
"16572","DALEK"," Do not move. "
"16574","DALEK"," Do not move. I am a Dalek.   We are invincible.   Stop! Stop! Ahh! "
"16583","DALEK"," Halt! You will be exterminated. "
"16588","DALEK"," Eradicate her.   Obliterate. "
"16590","DALEK"," Embark at once. "
"16591","DALEK"," At once! "
"16592","DALEK"," Yes! Embark! "
"16593","DALEK"," Embark! At once! "
"16594","DALEK"," Embark! Embark! Embark! Embark! "
"16613","DALEK"," We are locked in pursuit course. "
"16614","DALEK"," Calculate destination of enemy time machine. "
"16615","DALEK"," Report. "
"16616","DALEK"," The enemy is approaching the planet Mechanus. "
"16617","DALEK"," Contact Skaro. Report our destination to the Dalek Supreme. "
"16618","DALEK"," I obey. "
"16619","DALEK"," Is the reproducer repaired? "
"16620","DALEK"," We await your orders. "
"16621","DALEK"," Manufacture will commence at once."
"16622","DALEK"," Which of the four humans is to be reproduced? "
"16623","DALEK"," Their leader, the one they call Doctor. Is the reproducer programmed? "
"16624","DALEK"," All is in readiness. Photo images and relevant data are in the computer. The humanoid will be completed by the time we arrive at our destination. "
"16625","DALEK"," Excellent. Commence operations, then assemble at cell renovator chamber. "
"16626","DALEK"," We obey! "
"16627","DALEK"," Of course. "
"16647","DALEK"," Report position of enemy machine. "
"16648","DALEK"," It's movement through time is ending. "
"16649","DALEK"," It is approaching the planet Mechanus. "
"16650","DALEK"," How long before we reach them? "
"16651","DALEK"," Er, er, in earth time, er, four minutes. "
"16652","DALEK"," There is much to do."
"16653","DALEK"," Is the humanoid robot complete? "
"16654","DALEK"," The computer is feeding its memory cells with data. "
"16655","DALEK"," Physical characteristics are completed. Energy cells fully charged. "
"16656","DALEK"," Micro-units containing personality and vocal mannerisms are charged. "
"16657","DALEK"," Prepare to activate. Activate the robot. "
"16666","DALEK"," Success! Paramount success! It is impossible to distinguish from the original. "
"16667","DALEK"," We have landed on the planet Mechanus. "
"16668","DALEK"," Operate ramp control. Activate robot power source.   Your orders are understood? You will infiltrate and kill. "
